iso3,indicator,year,age,residence,wealth_quintile,value,OfficialName,Status.U5MR,total_birth
ALB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,72.7,Albania,Achieved,29
ALB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,81.9,Albania,Achieved,29
ALB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,77.8,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,100,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,99.2,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,99.9,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,99.8,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,100,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,100,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,99.8,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,99.7,Albania,Achieved,29
ALB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.8,Albania,Achieved,29
ARE,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.2,United Arab Emirates,Achieved,93
ARG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,84.7,Argentina,Achieved,628
ARG,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,90.4,Argentina,Achieved,628
ARG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,96.9,Argentina,Achieved,628
ARG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,98.8,Argentina,Achieved,628
ATG,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99,Antigua and Barbuda,Achieved,1
AUS,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,96,Australia,Achieved,300
AUT,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,98.1,Austria,Achieved,84
AZE,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.9,Azerbaijan,Achieved,124
BDI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,76.5,Burundi,Acceleration Needed,440
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,47.3,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,31.6,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,44.2,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,51,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,59.8,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,75.5,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,47.7,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,58.9,Benin,Acceleration Needed,482
BEN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,52.1,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,77.5,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,55.2,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,73.3,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,80.1,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,90.3,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,95.1,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,73.7,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,85,Benin,Acceleration Needed,482
BEN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,78.1,Benin,Acceleration Needed,482
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T19: 15 to 19 years old,_T: Total,_T: Total,66.7,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,67,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,72.5,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,71,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,73,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,78.5,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,R: Rural,_T: Total,71.3,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,U: Urban,_T: Total,74.7,Burkina Faso,Acceleration Needed,793
BFA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,72.2,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T19: 15 to 19 years old,_T: Total,_T: Total,97.3,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,90.2,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,96.3,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,97.1,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,97.8,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,97.8,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,R: Rural,_T: Total,94.9,Burkina Faso,Acceleration Needed,793
BFA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,U: Urban,_T: Total,98,Burkina Faso,Acceleration Needed,793
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,34.8,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,17.4,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,22.4,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,31.7,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,45.8,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,65.8,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,32,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,54.5,Bangladesh,On Track,2995
BGD,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,36.9,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,62.3,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,32.4,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,47,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,59.2,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,70.2,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,85.8,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,54.8,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,73.7,Bangladesh,On Track,2995
BGD,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,59,Bangladesh,On Track,2995
BGR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,94.5,Bulgaria,Achieved,57
BHR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.6,Bahrain,Achieved,17
BHS,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99,Bahamas,Achieved,5
BIH,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.9,Bosnia and Herzegovina,Achieved,27
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,99.1,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,100,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,99.7,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,99.8,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,99.9,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,100,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,99.8,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,99.9,Belarus,Achieved,87
BLR,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.9,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,100,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,99.6,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,99.9,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,100,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,100,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,100,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,99.7,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,100,Belarus,Achieved,87
BLR,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.9,Belarus,Achieved,87
BLZ,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,94.6,Belize,Achieved,7
BOL,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,81.1,Bolivia (Plurinational State of),Achieved,264
BRA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,87.7,Brazil,Achieved,2723
BRA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,92.2,Brazil,Achieved,2723
BRA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,98.4,Brazil,Achieved,2723
BRB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,98.4,Barbados,Achieved,3
BRN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.6,Brunei Darussalam,Achieved,6
BTN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,98.9,Bhutan,Achieved,10
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,44.9,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,25.9,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,30.1,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,36.9,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,52.9,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,72,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,32.4,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,62.1,Central African Republic,Acceleration Needed,237
CAF,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,41.4,Central African Republic,Acceleration Needed,237
CAF,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,43,Central African Republic,Acceleration Needed,237
CAF,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,19.6,Central African Republic,Acceleration Needed,237
CAF,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,26.1,Central African Republic,Acceleration Needed,237
CAF,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,31.8,Central African Republic,Acceleration Needed,237
